game,move,white,black,san,uci,depth,score_cp,nodes,time_ms,link,cpl,is_white
0,75,AlexanderKhromov,ArturBK,Kg2,f2g2,18,-9991,70665,32,https://lichess.org/xPjwCh98,0,True
0,76,AlexanderKhromov,ArturBK,Qh5,f5h5,18,-2123,6240632,2262,https://lichess.org/xPjwCh98,0,False
1,1,ArturBK,BLR4region,e4,e2e4,18,39,1216601,1548,https://lichess.org/SnLBgRhj,0,True
1,2,ArturBK,BLR4region,d5,d7d5,18,89,592842,771,https://lichess.org/SnLBgRhj,50,False
1,3,ArturBK,BLR4region,exd5,e4d5,18,74,1379684,1761,https://lichess.org/SnLBgRhj,15,True
1,4,ArturBK,BLR4region,e5,e7e5,18,143,1063288,1344,https://lichess.org/SnLBgRhj,69,False
1,5,ArturBK,BLR4region,dxe6,d5e6,18,144,523103,631,https://lichess.org/SnLBgRhj,0,True
1,6,ArturBK,BLR4region,Bxe6,c8e6,18,172,539147,629,https://lichess.org/SnLBgRhj,28,False
1,7,ArturBK,BLR4region,Nf3,g1f3,18,116,995035,1236,https://lichess.org/SnLBgRhj,56,True
1,8,ArturBK,BLR4region,Qe7,d8e7,18,246,1396700,1694,https://lichess.org/SnLBgRhj,130,False
1,9,ArturBK,BLR4region,Be2,f1e2,18,235,764035,912,https://lichess.org/SnLBgRhj,11,True
1,10,ArturBK,BLR4region,Nc6,b8c6,18,218,635616,758,https://lichess.org/SnLBgRhj,0,False
1,11,ArturBK,BLR4region,O-O,e1g1,18,237,985955,1136,https://lichess.org/SnLBgRhj,0,True
1,12,ArturBK,BLR4region,O-O-O,e8c8,18,231,721114,812,https://lichess.org/SnLBgRhj,0,False
1,13,ArturBK,BLR4region,d4,d2d4,18,247,1370717,1670,https://lichess.org/SnLBgRhj,0,True
1,14,ArturBK,BLR4region,a6,a7a6,18,367,1003811,1062,https://lichess.org/SnLBgRhj,120,False
1,15,ArturBK,BLR4region,Be3,c1e3,18,258,1489931,1748,https://lichess.org/SnLBgRhj,109,True
1,16,ArturBK,BLR4region,h6,h7h6,18,376,555967,614,https://lichess.org/SnLBgRhj,118,False
1,17,ArturBK,BLR4region,c4,c2c4,18,435,965665,1032,https://lichess.org/SnLBgRhj,0,True
1,18,ArturBK,BLR4region,g5,g7g5,18,487,525829,526,https://lichess.org/SnLBgRhj,52,False
1,19,ArturBK,BLR4region,h3,h2h3,18,275,1677399,1676,https://lichess.org/SnLBgRhj,212,True
1,20,ArturBK,BLR4region,g4,g5g4,18,232,838685,844,https://lichess.org/SnLBgRhj,0,False
1,21,ArturBK,BLR4region,hxg4,h3g4,18,287,1227549,1330,https://lichess.org/SnLBgRhj,0,True
1,22,ArturBK,BLR4region,Bxg4,e6g4,18,256,1603102,1813,https://lichess.org/SnLBgRhj,0,False
1,23,ArturBK,BLR4region,Nh2,f3h2,18,-60,672971,787,https://lichess.org/SnLBgRhj,316,True
1,24,ArturBK,BLR4region,h5,h6h5,18,95,1645961,1850,https://lichess.org/SnLBgRhj,155,False
1,25,ArturBK,BLR4region,Bxg4+,e2g4,18,-82,542262,576,https://lichess.org/SnLBgRhj,177,True
1,26,ArturBK,BLR4region,hxg4,h5g4,18,-46,1628711,1637,https://lichess.org/SnLBgRhj,36,False
1,27,ArturBK,BLR4region,Qxg4+,d1g4,18,0,1592274,1691,https://lichess.org/SnLBgRhj,0,True
1,28,ArturBK,BLR4region,Kb8,c8b8,18,0,635914,687,https://lichess.org/SnLBgRhj,0,False
1,29,ArturBK,BLR4region,Bf4,e3f4,18,-559,3456343,3412,https://lichess.org/SnLBgRhj,559,True
1,30,ArturBK,BLR4region,Nf6,g8f6,18,-497,2343977,2378,https://lichess.org/SnLBgRhj,62,False
1,31,ArturBK,BLR4region,Qf3,g4f3,18,-852,1268126,856,https://lichess.org/SnLBgRhj,355,True
1,32,ArturBK,BLR4region,Nxd4,c6d4,18,-846,3545794,2538,https://lichess.org/SnLBgRhj,6,False
